fheight	sheight
165.2	151.8
160.7	160.6
165	160.9
167	159.5
155.3	163.3
160.1	163.2
166	162.8
164.4	162.5
167.8	164.1
170.1	162.5
149.9	165.7
159.8	166
161.7	166.8
162.7	166.2
164.3	165.8
165.5	164.6
168.6	165.1
166.6	166.5
171.1	165.3
169.6	166.3
172.2	165.4
176.6	166.4
158.9	169.1
162.1	168.6
163.7	168
165	167.6
164.4	167.5
167	168.8
166.4	167
166.5	167.6
169.9	167.4
169.1	167.4
169	168.8
172.5	167
173.5	168.5
172.1	167.9
173.9	168.4
176.2	168.5
182.4	168.7
158.5	170.8
163.8	171.4
163.8	170.2
162.4	169.6
166.2	170.3
165.2	169.8
166.8	176
174.4	175.5
169	156.6
164.7	167
176.8	175.2
164.6	171.1
165.9	170.6
167.2	170.4
167.2	170.9
166.5	171.8
167.3	171.4
167.1	170
170.4	171.7
169.2	170.7
171.2	169.7
170.9	170.8
169.2	171.5
173.2	171.6
172.2	170.6
173.5	171.6
172.9	171.1
175.2	171.7
175.1	170.8
176.8	169.7
178.7	169.5
177.8	170
184.8	171.8
159.6	172.8
159.7	174
162.3	172.8
163.9	173.6
163.9	173.6
167.7	173.5
167.2	173.2
167.7	174
166.5	173
167	173.5
169.6	172.8
169.4	174.3
170.1	172.6
170	172.9
169.8	173.7
170.5	172.3
172.1	173.2
173.4	172.8
171.7	173.3
173.9	172.5
171.9	174.3
174.5	172.7
176.1	173.4
174.6	172.6
175.6	174.3
176.1	173.3
174.3	174.2
176.7	172.9
178.8	173.7
180.8	172.1
179.9	174.2
182	172.5
186.1	172.3
160.1	174.7
161.7	176.8
166.1	177
164.1	176.3
168.7	177
167.1	175.8
166.8	176.4
167.8	176.8
169	176
169.1	176.6
169.3	174.6
172	176
174	175.8
172.3	175.9
171.6	176.5
172.9	175.6
175.7	175.1
174.5	176.4
174.3	176
174.4	175.8
174.3	174.5
178.7	176.1
177.8	174.9
178.2	176
178.3	175.7
181.1	176.9
180.1	175.5
183.4	175.5
190.4	175.3
164.8	177.4
166.5	178
166.8	177.5
167.5	178.5
167.5	179.1
171.3	179.1
171.4	177.3
171.7	178.7
173.9	177.7
174	177.4
173	179.6
176.5	178.2
175.4	178.1
176.3	177.7
176.4	178.6
176.6	177.3
178.2	177.7
177.5	177.6
178.9	177.1
180	178
181.1	177.8
183.2	179.5
183.4	177.8
191.6	178
163.9	181.2
168.6	179.9
166.5	181.5
169.6	180.8
170	182
173.2	181.3
171.5	179.7
172.3	181
175.1	180.5
175.9	181
174.6	180.1
177.1	181.1
178.6	181.8
177.9	180.8
178.4	180.4
180	181.3
180.8	182
183.8	180.6
185.5	180.1
190	182
171.2	183.9
171	182.6
172.2	183.8
176.1	183.3
174.6	184.2
177.8	182.9
177.2	183.8
179.5	184
180.6	183.6
184.1	182.8
184.1	183.3
171.5	184.9
173.3	185.5
174.8	185.1
177.5	185.9
181.6	187
179.7	185.1
182.7	185.9
160.2	188.8
173.3	189
177.9	187.4
179.9	187.8
184.3	187.3
172.6	191.9
171.6	192.3
184.9	196.1
159.2	155.7
173.2	188.7
165.3	180.2
186.5	191.4
159.9	156.9
158.8	162.6
177.6	158.7
180.5	187.2
180.6	168.5
176.5	158
178.3	166.2
166.3	162.5
157.6	159.5
161.5	161.4
166.6	161.3
172.8	159.8
157	161.9
162	161.9
164.8	163.6
167.1	161.8
168.7	163.7
174.8	163.3
156.9	165.6
163.3	165.4
161.8	166.5
165.1	165
166	165.5
164.6	165.5
166.9	166.6
167.7	166.7
170.3	164.8
172.1	166.2
175.4	164.4
157.9	167.2
159.4	167.1
162.3	169.4
166.1	169
164.1	168.7
166.7	168.5
168.1	168.3
167.6	168.6
167.1	169.4
171.3	168.2
170.5	168.7
171	169.3
172.4	167.1
173.5	168.2
172.6	168.4
174.5	167.2
180.8	168.5
