state,date1,date2,n,rate,lwr,upr,metric,survey
AK,8/6/2020,8/11/2020,242,0.3,0,1.12,N,Commerical
AL,7/29/2020,8/13/2020,938,5.8,4.16,7.71,N,Commerical
AR,7/29/2020,8/13/2020,937,4.1,2.74,5.63,N,Commerical
AZ,7/31/2020,8/11/2020,591,8.2,4.11,13.59,N,Commerical
CA,7/30/2020,8/5/2020,980,5.7,4.05,7.77,N,Commerical
CO,7/30/2020,8/7/2020,1001,2.4,0.89,4.53,N,Commerical
CT,7/30/2020,8/3/2020,994,3.4,2.04,4.72,N,Commerical
DC,7/30/2020,8/13/2020,717,3.9,2.18,5.76,N,Commerical
DE,7/29/2020,8/13/2020,804,5.7,3.55,8.22,N,Commerical
FL,7/31/2020,8/3/2020,980,4.3,2.77,5.86,N,Commerical
GA,8/2/2020,8/11/2020,985,6.8,4.83,8.81,N,Commerical
HI,8/3/2020,8/11/2020,5,777,NA,NA,N,Commerical
IA,7/29/2020,8/13/2020,811,8.6,5.98,11.34,N,Commerical
ID,8/4/2020,8/11/2020,246,4.5,1.8,7.99,N,Commerical
IL,7/29/2020,8/10/2020,1004,3.9,2.52,5.21,N,Commerical
IN,7/31/2020,8/11/2020,579,2.2,1.1,3.63,N,Commerical
KS,7/29/2020,8/8/2020,962,1.6,0.7,2.8,N,Commerical
KY,7/30/2020,8/13/2020,975,2.4,1.32,3.62,N,Commerical
LA,7/28/2020,8/13/2020,1002,9.6,6.88,12.29,N,Commerical
MA,7/30/2020,8/10/2020,978,4.2,2.89,5.81,N,Commerical
MD,7/31/2020,8/11/2020,783,9.7,7.26,12.87,N,Commerical
ME,7/30/2020,8/11/2020,598,0.5,0,1.16,N,Commerical
MI,7/30/2020,8/11/2020,982,3.4,2.16,4.84,N,Commerical
MN,7/29/2020,8/13/2020,879,3.5,2.06,5.01,N,Commerical
MO,7/28/2020,8/10/2020,979,2.5,1.44,3.61,N,Commerical
MS,7/30/2020,8/13/2020,769,7.1,3.75,11.09,N,Commerical
MT,7/29/2020,8/10/2020,199,0.5,0,1.67,N,Commerical
NC,7/29/2020,8/10/2020,928,2.5,1.31,3.72,N,Commerical
ND,7/29/2020,8/12/2020,121,7.3,1.3,14.28,N,Commerical
NE,7/28/2020,8/13/2020,954,7.4,5.25,9.75,N,Commerical
