outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,Jul-22,202230,11-May,all_types,0,545135,0,4894771,1,12774055,0,0,0.0078284,,,,,,,,0
death,Jul-22,202230,17-Dec,all_types,0,2786599,0,7069903,0,6035472,0,0,0,,,,,,,,0
death,Jul-22,202230,18-49,all_types,11,25207882,12,37239463,39,23658679.75,0.0436371,0.0322239,0.164844363,3.77761569,5.115596307,,,,,,1
case,Sep-21,202138,18-49,all_types,119,307241,52609,52473497,170089,34939594,38.73180988,100.2582313,486.8087477,12.56870642,4.855548929,,,,,,0
case,Sep-21,202138,50-64,all_types,147,376834,28091,30068369,46391,9714056,39.00921891,93.42375704,477.5657048,12.2423806,5.111822944,,,,,,0
case,Sep-21,202138,65+,all_types,280,878779,27243,29106029,24190,4820712.8,31.86239089,93.59916463,501.7930129,15.74875579,5.361084309,,,,,,1
case,Sep-21,202138,all_ages,all_types,546,1562854,107943,111647895,240670,49474362.8,34.93608488,96.68162575,486.453966,13.92411221,5.031503786,37.6182156,97.74358341,487.4926419,12.95895178,4.987464393,0
case,Sep-21,202138,all_ages,Janssen,7,28692,11003,9567298,240670,49474362.8,24.39704447,115.0063477,486.453966,19.93905313,4.229801014,31.0201565,114.4564886,487.4926419,15.71535082,4.259196206,0
case,Sep-21,202138,all_ages,Moderna,202,685545,35197,44214235,240670,49474362.8,29.46560766,79.60558404,486.453966,16.50921209,6.110802048,36.95117527,81.63250505,487.4926419,13.19288597,5.971795691,0
case,Sep-21,202138,all_ages,Pfizer,334,843948,61644,57790888,240670,49474362.8,39.57589804,106.6673348,486.453966,12.29167221,4.560477365,40.0794015,106.6312126,487.4926419,12.1631717,4.571763089,0
case,Sep-21,202139,18-49,all_types,153,373796,49759,53423700,142930,34270943,40.93141714,93.14031039,417.0588478,10.18921105,4.477748099,,,,,,0
case,Sep-21,202139,50-64,all_types,159,455661,26669,30300581,40212,9522246,34.89436226,88.01481397,422.2953282,12.10210765,4.798002849,,,,,,0
