state,tot_cases,tot_deaths,year_week,n_samples,n_infected
AK,0.0,0.0,2020-W03,,
AK,0.0,0.0,2020-W04,,
AK,0.0,0.0,2020-W05,,
AK,0.0,0.0,2020-W06,,
AK,0.0,0.0,2020-W07,,
AK,0.0,0.0,2020-W08,,
AK,0.0,0.0,2020-W09,,
AK,0.0,0.0,2020-W10,,
AK,11.0,0.0,2020-W11,,
AK,63.0,1.0,2020-W12,,
AK,149.0,3.0,2020-W13,,
AK,235.0,7.0,2020-W14,,
AK,300.0,9.0,2020-W15,,
AK,337.0,9.0,2020-W16,,
AK,355.0,9.0,2020-W17,,
AK,374.0,10.0,2020-W18,,
AK,389.0,10.0,2020-W19,,
AK,404.0,10.0,2020-W20,,
AK,427.0,10.0,2020-W21,,
AK,518.0,10.0,2020-W22,,
AK,616.0,11.0,2020-W23,,
AK,713.0,12.0,2020-W24,,
AK,821.0,12.0,2020-W25,,
AK,1020.0,13.0,2020-W26,,
AK,1273.0,16.0,2020-W27,,
AK,1694.0,16.0,2020-W28,,
AK,2202.0,18.0,2020-W29,,
AK,2886.0,21.0,2020-W30,,
AK,3487.0,25.0,2020-W31,72.6,242.0
AK,3978.0,27.0,2020-W32,915.2,704.0
AK,4536.0,29.0,2020-W33,,
AK,5001.0,36.0,2020-W34,610.0,610.0
AK,5475.0,38.0,2020-W35,,
AK,6022.0,41.0,2020-W36,272.40000000000003,681.0
AK,6551.0,43.0,2020-W37,,
AK,7193.0,44.0,2020-W38,894.6,994.0
AK,8026.0,55.0,2020-W39,2660.6,1004.0
AK,9046.0,59.0,2020-W40,1456.5,971.0
AK,10387.0,64.0,2020-W41,,
AK,11925.0,68.0,2020-W42,,
AK,14539.0,71.0,2020-W43,8901.9,1413.0
AK,17266.0,86.0,2020-W44,3379.7999999999997,786.0
AK,20864.0,98.0,2020-W45,4036.5,621.0
AK,25180.0,102.0,2020-W46,,
AK,29292.0,118.0,2020-W47,7928.800000000001,901.0
AK,33816.0,123.0,2020-W48,15217.949999999999,1203.0
AK,38438.0,150.0,2020-W49,10078.8,908.0
AK,41855.0,180.0,2020-W50,,
AK,44078.0,196.0,2020-W51,11668.8,1144.0
AK,45802.0,203.0,2020-W52,,
AK,,,2021-W00,24726.9,1298.0
AK,47828.0,220.0,2021-W01,18315.899999999998,1299.0
AK,49801.0,226.0,2021-W02,,
AK,51178.0,253.0,2021-W03,18545.2,1306.0
AK,52359.0,261.0,2021-W04,,
AK,53305.0,279.0,2021-W05,35499.35,1299.5
AK,54294.0,280.0,2021-W06,,
AK,55101.0,288.0,2021-W07,13150.0,1315.0
AK,55986.0,289.0,2021-W08,,
AK,56862.0,301.0,2021-W09,45093.9,1361.5
AK,57772.0,303.0,2021-W10,,
AK,58686.0,305.0,2021-W11,17988.1,1313.0
AK,59630.0,310.0,2021-W12,,
AK,60816.0,311.0,2021-W13,69268.40000000001,1471.0
AK,62024.0,311.0,2021-W14,,
AK,63137.0,312.0,2021-W15,14518.8,1308.0
AK,64283.0,332.0,2021-W16,,
AK,65325.0,344.0,2021-W17,56676.25,1287.5
AK,66056.0,345.0,2021-W18,,
AK,66621.0,350.0,2021-W19,15422.4,1296.0
AK,67074.0,366.0,2021-W20,,
AK,67371.0,366.0,2021-W21,11360.800000000001,1291.0
AK,67601.0,366.0,2021-W22,66806.1,1362.0
AK,67786.0,366.0,2021-W23,11171.800000000001,1346.0
AK,67941.0,370.0,2021-W24,,
AK,68178.0,371.0,2021-W25,11429.7,1229.0
AK,68435.0,374.0,2021-W26,65559.19999999998,1288.0
AK,68748.0,374.0,2021-W27,,
AK,69320.0,378.0,2021-W28,,
AK,70519.0,379.0,2021-W29,,
AK,72065.0,383.0,2021-W30,,
AK,73957.0,390.0,2021-W31,69498.75000000001,1348.5
AK,76069.0,397.0,2021-W32,,
AK,79070.0,409.0,2021-W33,,
AK,82427.0,435.0,2021-W34,,
AK,86078.0,445.0,2021-W35,59087.75,1054.5
AK,90342.0,453.0,2021-W36,33405.399999999994,1561.0
AK,95229.0,465.0,2021-W37,,
AK,101487.0,478.0,2021-W38,,
AK,109923.0,563.0,2021-W39,72686.04999999999,1242.0
AK,115667.0,581.0,2021-W40,58819.200000000004,1671.0
AK,121844.0,608.0,2021-W41,,
AK,127374.0,687.0,2021-W42,,
AK,131999.0,712.0,2021-W43,,
AK,136133.0,733.0,2021-W44,85949.5,1391.0
AK,139524.0,827.0,2021-W45,,
AK,142443.0,838.0,2021-W46,,
AK,144792.0,866.0,2021-W47,,
AK,146508.0,877.0,2021-W48,95658.70000000001,1514.5
AK,148018.0,882.0,2021-W49,,
AK,149237.0,885.0,2021-W50,,
AK,150283.0,972.0,2021-W51,,
AK,152363.0,974.0,2021-W52,73569.0,1790.0
AK,157886.0,975.0,2022-W01,,
AK,170052.0,981.0,2022-W02,,
AK,185787.0,1047.0,2022-W03,,
AK,202626.0,1077.0,2022-W04,,
AK,216048.0,1089.0,2022-W05,,
AK,224165.0,1110.0,2022-W06,18361.0,301.0
AK,228123.0,1137.0,2022-W07,,
AK,230807.0,1159.0,2022-W08,,
AK,232898.0,1187.0,2022-W09,,
AK,235338.0,1197.0,2022-W10,,
AK,236745.0,1198.0,2022-W11,,
AK,238168.0,1215.0,2022-W12,,
AK,239613.0,1224.0,2022-W13,,
AK,240990.0,1224.0,2022-W14,,
AK,242227.0,1230.0,2022-W15,,
AK,243740.0,1243.0,2022-W16,,
AK,245165.0,1247.0,2022-W17,,
AK,246582.0,1248.0,2022-W18,,
AK,248121.0,1259.0,2022-W19,,
AK,249818.0,1270.0,2022-W20,,
AK,251699.0,1270.0,2022-W21,,
AK,253643.0,1270.0,2022-W22,,
AK,255700.0,1270.0,2022-W23,,
AK,257682.0,1270.0,2022-W24,,
AK,259819.0,1270.0,2022-W25,,
AK,262585.0,1270.0,2022-W26,,
AK,264573.0,1270.0,2022-W27,,
AK,266706.0,1275.0,2022-W28,,
AK,269051.0,1275.0,2022-W29,,
AK,271101.0,1275.0,2022-W30,,
AK,273674.0,1275.0,2022-W31,,
AK,275542.0,1296.0,2022-W32,,
AK,277007.0,1296.0,2022-W33,,
AK,278680.0,1304.0,2022-W34,,
AK,279888.0,1304.0,2022-W35,,
AK,280767.0,1304.0,2022-W36,,
AK,281717.0,1329.0,2022-W37,,
