outcome,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,year_week
case,546,1562854,107943,111647895,240670,49474362.8,34.93608488,96.68162575,486.453966,13.92411221,5.031503786,37.6182156,97.74358341,487.4926419,12.95895178,4.987464393,2021-W38
case,624,1898762,102107,112762094,204700,48423938.8,32.86351844,90.55081932,422.7248032,12.86304155,4.668370826,37.71044504,91.30325679,426.3716254,11.30645965,4.669840271,2021-W39
case,746,2315541,96205,113676350,180689,47500945.8,32.21709311,84.63062018,380.3903206,11.80709629,4.494712667,39.58299557,85.17724417,385.3239137,9.734581938,4.523789394,2021-W40
case,896,3983836,86980,113130056,155652,46689549.8,22.49088567,76.8849615,333.3765279,14.82273899,4.336043374,27.62327551,77.14560863,340.2065511,12.31593809,4.409927631,2021-W41
case,1196,5945158,82286,112184292,141203,45959133.5,20.11721135,73.34894978,307.2359926,15.27229531,4.188689729,22.6076245,73.48872786,313.8525812,13.88259882,4.27075812,2021-W42
case,1667,7676755,84909,111320676,140703,45117494.8,21.71490428,76.27424038,311.8590707,14.36152178,4.088655215,27.49992874,76.74401272,318.4151261,11.57876186,4.149054953,2021-W43
case,2270,9434275,92665,110334469,142186,44287334.8,24.06120237,83.98554037,321.0534132,13.34319908,3.822722481,32.69242591,85.8243658,326.8943956,9.999086532,3.808876332,2021-W44
case,3078,12974195,101144,107546726,154940,43530835.15,23.72401525,94.04656354,355.9316045,15.00300859,3.784631688,31.5618153,95.48384337,363.1335326,11.50547043,3.803088771,2021-W45
case,4369,16940059,109049,104291452,167035,42731285.0,25.79093733,104.5617813,390.8962719,15.1563422,3.738423991,34.53747692,105.4753853,402.3420094,11.6494326,3.814558327,2021-W46
case,5031,20667670,98627,101186929,149949,41973691.0,24.3423666,97.47009913,357.2452087,14.67586182,3.665177443,31.86541862,98.00521462,371.3756959,11.65450548,3.789346285,2021-W47
