GEO_ID,Population 18 to 24 years,Population 18 to 24 years-Less than high school graduate,Population 18 to 24 years-High school graduate (includes equivalency),Population 18 to 24 years-Some college or associate's degree,Population 18 to 24 years-Bachelor's degree or higher,Population 25 years and over,Population 25 years and over-Less than 9th grade,"Population 25 years and over-9th to 12th grade, no diploma",Population 25 years and over-High school graduate (includes equivalency),"Population 25 years and over-Some college, no degree",Population 25 years and over-Associate's degree,Population 25 years and over-Bachelor's degree,Population 25 years and over-Graduate or professional degree,Population 25 years and over-High school graduate or higher,Population 25 years and over-Bachelor's degree or higher
1400000US53033000101,278,71,17,90,100,2718,187,80,492,362,250,949,398,2451,1347
1400000US53033000102,402,50,125,104,123,3578,75,172,717,379,315,981,939,3331,1920
1400000US53033000201,301,0,234,53,14,3616,15,232,412,512,199,1242,1004,3369,2246
1400000US53033000202,228,0,54,102,72,3194,69,187,443,406,179,1174,736,2938,1910
1400000US53033000300,477,25,60,318,74,1933,41,113,189,342,223,639,386,1779,1025
1400000US53033000402,258,65,21,109,63,4364,125,100,639,1324,228,1075,873,4139,1948
1400000US53033000403,195,0,0,89,106,2543,9,110,339,666,319,625,475,2424,1100
1400000US53033000404,287,0,107,180,0,3118,220,63,496,1260,346,487,246,2835,733
1400000US53033000500,49,24,0,15,10,2385,12,9,187,268,94,1069,746,2364,1815
1400000US53033000601,415,11,192,152,60,3524,142,41,551,859,201,1139,591,3341,1730
1400000US53033000602,312,59,8,67,178,2837,121,141,441,459,326,771,578,2575,1349
1400000US53033000700,778,0,117,302,359,3993,162,185,520,841,267,950,1068,3646,2018
1400000US53033000800,257,39,16,64,138,2096,7,54,160,307,164,694,710,2035,1404
1400000US53033000900,101,0,52,32,17,1784,14,7,123,196,56,655,733,1763,1388
1400000US53033001000,210,21,64,80,45,1407,16,43,106,215,82,442,503,1348,945
1400000US53033001100,150,10,38,55,47,2089,69,18,230,215,94,885,578,2002,1463
1400000US53033001201,396,17,143,133,103,3054,78,255,502,711,349,783,376,2721,1159
1400000US53033001202,491,10,52,256,173,2090,0,106,170,384,164,587,679,1984,1266
1400000US53033001300,514,101,103,107,203,3931,217,16,531,706,366,1385,710,3698,2095
1400000US53033001400,83,12,48,23,0,4352,38,4,646,527,327,1599,1211,4310,2810
1400000US53033001500,142,0,100,24,18,2306,0,42,183,469,185,907,520,2264,1427
1400000US53033001600,330,25,80,72,153,3404,0,6,212,355,170,1330,1331,3398,2661
1400000US53033001701,287,0,84,48,155,3579,92,134,436,583,135,1691,508,3353,2199
1400000US53033001702,136,0,15,43,78,4282,109,91,506,663,332,1638,943,4082,2581
1400000US53033001800,527,16,42,264,205,3851,58,48,244,514,312,1655,1020,3745,2675
1400000US53033001900,400,56,9,119,216,3966,49,80,281,484,289,1744,1039,3837,2783
1400000US53033002000,293,34,132,86,41,3127,0,0,175,674,406,1034,838,3127,1872
1400000US53033002100,423,34,114,48,227,3275,19,48,293,570,92,1418,835,3208,2253
1400000US53033002200,432,20,115,203,94,4386,0,11,198,450,353,1460,1914,4375,3374
1400000US53033002400,103,8,19,55,21,2557,33,12,106,337,141,736,1192,2512,1928
1400000US53033002500,127,0,0,74,53,2745,13,43,166,256,134,1063,1070,2689,2133
1400000US53033002600,439,12,108,125,194,4016,0,0,126,552,136,1811,1391,4016,3202
1400000US53033002700,602,0,115,171,316,4347,39,44,178,439,214,1799,1634,4264,3433
1400000US53033002800,119,0,18,80,21,4125,12,38,343,580,238,1745,1169,4075,2914
1400000US53033002900,205,56,50,55,44,3597,0,38,312,655,92,1461,1039,3559,2500
1400000US53033003000,283,0,64,124,95,4910,45,73,491,612,140,2354,1195,4792,3549
1400000US53033003100,221,32,45,32,112,4921,25,0,321,849,205,1998,1523,4896,3521
1400000US53033003201,203,48,48,72,35,3852,12,57,343,749,248,1237,1206,3783,2443
1400000US53033003202,181,45,74,15,47,3656,0,0,209,685,256,1227,1279,3656,2506
1400000US53033003301,229,0,74,126,29,3685,0,30,146,383,176,1909,1041,3655,2950
1400000US53033003302,285,2,149,42,92,3092,44,35,387,451,118,1300,757,3013,2057
1400000US53033003400,255,0,32,70,153,2754,39,20,139,215,279,1102,960,2695,2062
1400000US53033003500,236,17,68,68,83,3439,19,0,268,305,79,1438,1330,3420,2768
1400000US53033003601,370,0,48,19,303,3133,85,0,7,264,151,1839,787,3048,2626
1400000US53033003602,333,51,33,89,160,3356,0,0,202,413,159,1456,1126,3356,2582
1400000US53033003800,285,24,42,66,153,1795,6,1,46,166,86,846,644,1788,1490
1400000US53033003900,270,21,33,67,149,2037,48,15,64,90,101,736,983,1974,1719
1400000US53033004000,192,13,77,61,41,2281,40,108,163,220,97,718,935,2133,1653
1400000US53033004101,165,13,65,44,43,3040,0,0,30,13,122,1033,1842,3040,2875
1400000US53033004102,240,33,20,47,140,2699,10,17,84,218,34,1013,1323,2672,2336
1400000US53033004201,153,13,35,27,78,2554,58,48,117,290,131,875,1035,2448,1910
1400000US53033004202,340,0,22,102,216,3476,0,15,134,282,141,1169,1735,3461,2904
1400000US53033004301,812,62,118,423,209,2255,0,15,74,313,141,817,895,2240,1712
1400000US53033004302,2509,27,500,1700,282,1512,10,0,246,250,74,490,442,1502,932
1400000US53033004401,1629,159,418,624,428,2286,39,58,110,253,0,776,1050,2189,1826
1400000US53033004402,1457,37,206,778,436,1794,39,0,56,297,85,896,421,1755,1317
1400000US53033004500,688,0,60,505,123,2271,15,24,67,179,178,988,820,2232,1808
1400000US53033004600,224,34,39,47,104,2690,29,15,129,267,139,1350,761,2646,2111
1400000US53033004701,356,4,0,18,334,2639,0,76,152,382,118,1040,871,2563,1911
1400000US53033004702,149,0,30,0,119,2801,34,12,89,158,94,1441,973,2755,2414
1400000US53033004703,235,0,0,54,181,3117,0,0,255,192,27,1903,740,3117,2643
